family,scientificName,action,situation,details,references
POACEAE,"Otachyrium piligerum","1.1 Site/area protection","on going","Espécie encontrada no Parque Nacional Grande Sertão Veredas (R. Rodrigues-da-Silva et al. 157) que apresenta Plano de Manejo (MMA/IBAMA/FUNATURA, 2003).","MMA/IBAMA/FUNATURA. Parque Nacional Grande Sertão Veredas. Disponível em:<http://www.icmbio.gov.br/portal/images/stories/imgs-unidades-coservacao/parna_grande_sertao_veredas.pdf>. Acessado em 12 de agosto de 2013. 2003"
OCHNACEAE,"Ouratea acicularis","1.1 Site/area protection","on going","A espécie ocorre na Estação Ecológica da Serra Geral do Tocantins (D. Barbosa-Silva 38) e no Parque Estadual do Jalapão (T.B. Cavalcanti 2757).",
OCHNACEAE,"Ouratea acicularis","5.1.2 National level","on going","Espécie categorizada na obra original como ""Vulnerável"" (VU) (Yamamoto et al., 2008).","YAMAMOTO, K ; CHACON, RG ; PROENCA, C. et al. A distinctive new species of Ouratea (Ochnaceae) from the Jalapao Region, Tocantins, Brazil. Novon, Vol.18(3), pp.397-404 , 2008."
OXALIDACEAE,"Oxalis veadeirosensis","1.1 Site/area protection","on going","Encontrada em Unidade de Conservação: Parque Nacional da Chapada dos Veadeiros (T.B. Cavalcanti 692).",
APOCYNACEAE,"Oxypetalum habrogynum","1.1 Site/area protection","on going","A espécie ocorre no interior do Parque Nacional da Serra da Canastra.","MMA/IBAMA- Plano de Manejo do Parque Nacional da Serra da Canastra. Ministério do Meio ambiente/Instituto Brasileiro do Meio Ambiente e dos Recursos Renováveis, disponível em <http://www.icmbio.gov.br/portal/images/stories/imgs-unidades-coservacao/PM_PNSC_Resumo_Executivo.PDF> acessado em 25 de agosto de 2013. 2005"
APOCYNACEAE,"Oxypetalum helios","1.1 Site/area protection","on going","A espécie ocorre no interior do Parque Nacional da Serra da Canastra.","MMA/IBAMA- Plano de Manejo do Parque Nacional da Serra da Canastra. Ministério do Meio ambiente/Instituto Brasileiro do Meio Ambiente e dos Recursos Renováveis, disponível em <http://www.icmbio.gov.br/portal/images/stories/imgs-unidades-coservacao/PM_PNSC_Resumo_Executivo.PDF> acessado em 25 de agosto de 2013. 2005"
ERIOCAULACEAE,"Paepalanthus albo-tomentosus","1.1 Site/area protection","on going","A espécie ocorre no Parque Parque Nacional da Chapada Diamantina.",
ERIOCAULACEAE,"Paepalanthus almasensis","1.1 Site/area protection","on going","A espécie ocorre no Parque Nacional da Chapada Diamantina.",
ERIOCAULACEAE,"Paepalanthus anamariae","1.1 Site/area protection","on going","A espécie ocorre no Parque Nacional da Serra do Cipó, MG.",
ERIOCAULACEAE,"Paepalanthus argenteus","1.1 Site/area protection","on going","A espécie ocorre no Parque Nacional da Serra do Cipó, MG.",
ERIOCAULACEAE,"Paepalanthus aureus","1.1 Site/area protection","on going","A espécie ocorre no Parque Nacional da Serra do Cipó, MG.",
ERIOCAULACEAE,"Paepalanthus barbiger","1.1 Site/area protection","on going","A espécie ocorre no Parque Nacional da Serra do Cipó, MG.",
ERIOCAULACEAE,"Paepalanthus barbulatus","1.1 Site/area protection","on going","A espécie ocorre no Parque Nacional da Chapada Diamantina.",
ERIOCAULACEAE,"Paepalanthus cinereus","1.1 Site/area protection","on going","A espécie ocorre no Parque Parque Nacional da Chapada Diamantina.",
ERIOCAULACEAE,"Paepalanthus complanatus","1.1 Site/area protection","on going","A espécie ocorre no Parque Nacional da Serra do Cipó, MG.",
ERIOCAULACEAE,"Paepalanthus contasensis","1.1 Site/area protection","on going","A espécie ocorre no Parque Parque Nacional da Chapada Diamantina.",
ERIOCAULACEAE,"Paepalanthus cordatus","1.1 Site/area protection","on going","Parque Nacional da Chapada dos Veadeiros.",
ERIOCAULACEAE,"Paepalanthus erigeron","1.1 Site/area protection","on going","A espécie ocorre no Parque Parque Nacional da Chapada Diamantina.",
ERIOCAULACEAE,"Paepalanthus globulifer","1.1 Site/area protection","on going","A espécie ocorre no Parque Nacional da Serra do Cipó, MG.",
ERIOCAULACEAE,"Paepalanthus harleyi","1.1 Site/area protection","on going","A espécie ocorre no Parque Nacional da Chapada Diamantina.",
ERIOCAULACEAE,"Paepalanthus homomallus","1.1 Site/area protection","on going","A espécie ocorre no Parque Nacional da Serra do Cipó, MG.",
ERIOCAULACEAE,"Paepalanthus inopinatus","1.1 Site/area protection","on going","A espécie ocorre no Parque Nacional da Serra do Cipó, MG (Giulietti et al., 2009).",
ERIOCAULACEAE,"Paepalanthus luetzelburgii","1.1 Site/area protection","on going","A espécie ocorre no Parque Nacional da Chapada Diamantina.",
ERIOCAULACEAE,"Paepalanthus obtusifolius","1.1 Site/area protection","on going","A espécie ocorre no Parque Nacional da Chapada Diamantina.",
ERIOCAULACEAE,"Paepalanthus pulvinatus","1.1 Site/area protection","on going","A espécie ocorre no Parque Nacional da Chapada Diamantina.",
ERIOCAULACEAE,"Paepalanthus revolutus","1.1 Site/area protection","on going","A espécie ocorre no Parque Nacional da Serra do Cipó, MG.",
ERIOCAULACEAE,"Paepalanthus senaeanus","1.1 Site/area protection","on going","A espécie ocorre no Parque Nacional da Serra do Cipó, MG.",
ERIOCAULACEAE,"Paepalanthus stannardii","1.1 Site/area protection","on going","A espécie ocorre no Parque Nacional da Chapada Diamantina.",
ERIOCAULACEAE,"Paepalanthus stuetzelii","1.1 Site/area protection","on going","A espécie encontra-se em regiões da Serra da Mangabeira, em Belo Horizonte, MG. No bairro de Mangabeiras, localiza-se o Parque Municipal das Mangabeiras, que possui como objetivo a conservação ambiental da região (Prefeitura de Belo Horizonte). Porém, os registros de coleta da espécie na Serra não especifica a ocorrência dentro dos limites do Parque Municipal.","PREFEITURA DE BELO HORIZONTE. Parque Municipal das Mangabeiras. Disponível em: <Parque Municipal das Mangabeiras>. Acessado em: 04/10/2013."
ERIOCAULACEAE,"Paepalanthus superbus","1.1 Site/area protection","on going","A espécie ocorre no Parque Nacional da Serra do Cipó, MG.",
ERIOCAULACEAE,"Paepalanthus urbanianus","1.1 Site/area protection","on going","A espécie é encontrada no Parque Nacional da Chapada dos Veadeiros.",
GESNERIACEAE,"Paliavana plumerioides","1.1 Site/area protection","on going","A região de ocorrência da espécie conta com o Parque Estadual da Serra do Cabral. ",
