family,scientificNameWithoutAuthorship,scientificNameAuthorship,acceptedNameUsage
BROMELIACEAE,"Tillandsia brachyphylla",Baker,"Tillandsia brachyphylla Baker"
BROMELIACEAE,"Tillandsia carminea",W.Till,"Tillandsia carminea W.Till"
BROMELIACEAE,"Tillandsia grazielae","D.Sucre & R.Braga","Tillandsia grazielae D.Sucre & R.Braga"
BROMELIACEAE,"Tillandsia neglecta",E.Pereira,"Tillandsia neglecta E.Pereira"
BROMELIACEAE,"Tillandsia nuptialis","R.Braga & Sucre","Tillandsia nuptialis R.Braga & Sucre"
BROMELIACEAE,"Tillandsia organensis",Ehlers,"Tillandsia organensis Ehlers"
BROMELIACEAE,"Tillandsia reclinata","E.Pereira & Martinelli","Tillandsia reclinata E.Pereira & Martinelli"
BROMELIACEAE,"Tillandsia roseiflora","Ehlers & W.Weber","Tillandsia roseiflora Ehlers & W.Weber"
BROMELIACEAE,"Tillandsia sucrei",E.Pereira,"Tillandsia sucrei E.Pereira"
BROMELIACEAE,"Tillandsia thiekenii",Ehlers,"Tillandsia thiekenii Ehlers"
BROMELIACEAE,"Vriesea agostiniana",E.Pereira,"Vriesea agostiniana E.Pereira"
BROMELIACEAE,"Vriesea altimontana","E.Pereira & Martinelli","Vriesea altimontana E.Pereira & Martinelli"
BROMELIACEAE,"Vriesea altomacaensis",A.F.Costa,"Vriesea altomacaensis A.F.Costa"
BROMELIACEAE,"Vriesea atra",Mez,"Vriesea atra Mez"
BROMELIACEAE,"Vriesea atrococcinea",Rauh,"Vriesea atrococcinea Rauh"
BROMELIACEAE,"Vriesea bleherae","Roth & W. Weber","Vriesea bleherae Roth & W. Weber"
BROMELIACEAE,"Vriesea botafogensis",Mez,"Vriesea botafogensis Mez"
BROMELIACEAE,"Vriesea brassicoides","(Baker) Mez","Vriesea brassicoides (Baker) Mez"
